"query","intent","funnel_stage","segment","target_route","content_action","priority","cluster_evidence"
"live outreach support tenders","Commercial","Consideration","outreach support","/care-settings/outreach-community-support","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win outreach support tenders","Informational","Consideration","outreach support","/care-settings/outreach-community-support","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"crisis response tender writing","Transactional","Decision","crisis response","/care-settings/crisis-rapid-response","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"crisis response bid writing services","Transactional","Decision","crisis response","/care-settings/crisis-rapid-response","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"crisis response tenders uk","Commercial","Consideration","crisis response","/care-settings/crisis-rapid-response","Expand live opportunity context","P0","Live-tender demand cluster"
"live crisis response tenders","Commercial","Consideration","crisis response","/care-settings/crisis-rapid-response","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win crisis response tenders","Informational","Consideration","crisis response","/care-settings/crisis-rapid-response","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"how to write a tender response","Informational","Awareness","Cross-sector","/guides/how-to-write-a-tender-response","Create or consolidate expert guide","P1","Procurement journey cluster"
"how to win public sector contracts uk","Informational","Awareness","Cross-sector","/guides/how-to-win-public-sector-contracts","Create or consolidate expert guide","P1","Procurement journey cluster"
"how to find government tenders uk","Informational","Awareness","Cross-sector","/guides/how-to-find-care-tenders","Create or consolidate expert guide","P1","Procurement journey cluster"
"how to find care tenders","Informational","Awareness","Cross-sector","/guides/how-to-find-care-tenders","Create or consolidate expert guide","P1","Procurement journey cluster"
"care framework tenders explained","Informational","Awareness","Cross-sector","/guides/care-frameworks-explained","Create or consolidate expert guide","P1","Procurement journey cluster"
"framework vs dps care","Informational","Awareness","Cross-sector","/guides/framework-vs-dps","Create or consolidate expert guide","P1","Procurement journey cluster"
"what is a dynamic purchasing system care","Informational","Awareness","Cross-sector","/guides/what-is-a-dps","Create or consolidate expert guide","P1","Procurement journey cluster"
"procurement act 2023 care providers","Informational","Awareness","Cross-sector","/guides/procurement-act-care-providers","Create or consolidate expert guide","P1","Procurement journey cluster"
"most advantageous tender healthcare","Informational","Awareness","Cross-sector","/guides/most-advantageous-tender","Create or consolidate expert guide","P1","Procurement journey cluster"
"selection questionnaire care tender","Informational","Awareness","Cross-sector","/guides/selection-questionnaire-care","Create or consolidate expert guide","P1","Procurement journey cluster"
"sq pqq support care tender","Commercial","Consideration","Cross-sector","/services/tender-readiness-audit","Strengthen existing page","P1","Procurement journey cluster"
"social value care tenders","Informational","Awareness","Cross-sector","/guides/social-value-care-tenders","Create or consolidate expert guide","P1","Procurement journey cluster"
"cqc rating tender requirements","Informational","Awareness","Cross-sector","/guides/cqc-rating-tender-requirements","Create or consolidate expert guide","P1","Procurement journey cluster"
"ofsted supported accommodation tenders","Informational","Awareness","Cross-sector","/care-settings/supported-accommodation","Strengthen existing page","P1","Procurement journey cluster"
"why care bids lose","Informational","Awareness","Cross-sector","/guides/why-care-bids-lose","Create or consolidate expert guide","P1","Procurement journey cluster"
"tender evaluation criteria explained","Informational","Awareness","Cross-sector","/guides/tender-evaluation-criteria","Create or consolidate expert guide","P1","Procurement journey cluster"
"how tenders are scored uk","Informational","Awareness","Cross-sector","/guides/tender-evaluation-criteria","Create or consolidate expert guide","P1","Procurement journey cluster"
"tender method statement example care","Informational","Consideration","Cross-sector","/guides/care-tender-method-statements","Create or consolidate expert guide","P1","Procurement journey cluster"
"care tender quality questions","Informational","Consideration","Cross-sector","/guides/care-tender-method-statements","Create or consolidate expert guide","P1","Procurement journey cluster"
"mobilisation plan care tender","Informational","Consideration","Cross-sector","/services/mobilisation-support","Strengthen existing page","P1","Procurement journey cluster"
"tender clarification questions uk","Informational","Awareness","Cross-sector","/guides/tender-clarification-questions","Create or consolidate expert guide","P1","Procurement journey cluster"
"framework call off competition support","Commercial","Consideration","Cross-sector","/services/bid-writing","Strengthen existing page","P1","Procurement journey cluster"
"dps application writing service","Transactional","Decision","Cross-sector","/services/bid-writing","Strengthen existing page","P1","Procurement journey cluster"
"find a tender service care contracts","Navigational","Consideration","Cross-sector","/tenders","Strengthen existing page","P1","Procurement journey cluster"
"contracts finder care contracts","Navigational","Consideration","Cross-sector","/tenders","Strengthen existing page","P1","Procurement journey cluster"
"nhs atamis tender support","Transactional","Decision","Cross-sector","/services/bid-writing","Strengthen existing page","P1","Procurement journey cluster"
"procontract tender writing help","Transactional","Decision","Cross-sector","/services/bid-writing","Strengthen existing page","P1","Procurement journey cluster"
"in-tend tender writing help","Transactional","Decision","Cross-sector","/services/bid-writing","Strengthen existing page","P1","Procurement journey cluster"
"jaggaer tender writing help","Transactional","Decision","Cross-sector","/services/bid-writing","Strengthen existing page","P1","Procurement journey cluster"
"public procurement tender checklist","Informational","Awareness","Cross-sector","/guides/public-procurement-tender-checklist","Create or consolidate expert guide","P1","Procurement journey cluster"
"care tender compliance checklist","Informational","Awareness","Cross-sector","/guides/care-tender-compliance-checklist","Create or consolidate expert guide","P1","Procurement journey cluster"
"bid library for care providers","Commercial","Consideration","Cross-sector","/services/tender-retainer","Strengthen existing page","P1","Procurement journey cluster"
"tender answer bank care provider","Commercial","Consideration","Cross-sector","/services/tender-retainer","Strengthen existing page","P1","Procurement journey cluster"
"care tender evidence examples","Informational","Consideration","Cross-sector","/case-studies","Strengthen existing page","P1","Procurement journey cluster"
"care contract award case studies","Commercial","Consideration","Cross-sector","/case-studies","Strengthen existing page","P1","Procurement journey cluster"
"council care contract tender help","Transactional","Decision","Cross-sector","/services/bid-writing","Strengthen existing page","P1","Procurement journey cluster"
"nhs framework bid writing","Transactional","Decision","Cross-sector","/services/bid-writing","Strengthen existing page","P1","Procurement journey cluster"
"icb tender writing support","Transactional","Decision","Cross-sector","/services/bid-writing","Strengthen existing page","P1","Procurement journey cluster"
"local authority framework bid writing","Transactional","Decision","Cross-sector","/services/bid-writing","Strengthen existing page","P1","Procurement journey cluster"
"public sector tender alerts healthcare","Commercial","Consideration","Cross-sector","/services/tender-pipeline-monitoring","Strengthen existing page","P1","Procurement journey cluster"
"council care tenders","Commercial","Consideration","Buyer/route to market","/tenders","Expand buyer-specific context","P1","Buyer intent cluster"
"local authority care tenders","Commercial","Consideration","Buyer/route to market","/tenders","Expand buyer-specific context","P1","Buyer intent cluster"
"nhs care tenders","Commercial","Consideration","Buyer/route to market","/tenders","Expand buyer-specific context","P1","Buyer intent cluster"
"nhs framework opportunities","Commercial","Consideration","Buyer/route to market","/tenders","Expand buyer-specific context","P1","Buyer intent cluster"
"icb contract opportunities","Commercial","Consideration","Buyer/route to market","/tenders","Expand buyer-specific context","P1","Buyer intent cluster"
"housing association tenders care","Commercial","Consideration","Buyer/route to market","/tenders","Expand buyer-specific context","P1","Buyer intent cluster"
"integrated care board tenders","Commercial","Consideration","Buyer/route to market","/tenders","Expand buyer-specific context","P1","Buyer intent cluster"
"public health tenders uk","Commercial","Consideration","Buyer/route to market","/tenders","Expand buyer-specific context","P1","Buyer intent cluster"
"adult social care contracts uk","Commercial","Consideration","Buyer/route to market","/tenders","Expand buyer-specific context","P1","Buyer intent cluster"
"children's social care contracts uk","Commercial","Consideration","Buyer/route to market","/tenders","Expand buyer-specific context","P1","Buyer intent cluster"
"care provider framework opportunities","Commercial","Consideration","Buyer/route to market","/tenders","Expand buyer-specific context","P1","Buyer intent cluster"
"government care contracts for small business","Commercial","Consideration","Buyer/route to market","/tenders","Expand buyer-specific context","P1","Buyer intent cluster"
"approved provider list care services","Commercial","Consideration","Buyer/route to market","/tenders","Expand buyer-specific context","P1","Buyer intent cluster"
"care provider dynamic market opportunities","Commercial","Consideration","Buyer/route to market","/tenders","Expand buyer-specific context","P1","Buyer intent cluster"
"light touch regime care tenders","Informational","Awareness","Buyer/route to market","/guides/light-touch-regime-care","Create authoritative guide","P1","Buyer intent cluster"
"procurement specific questionnaire support","Transactional","Decision","Buyer/route to market","/services/tender-readiness-audit","Expand buyer-specific context","P1","Buyer intent cluster"
"social care commissioning opportunities","Commercial","Consideration","Buyer/route to market","/tenders","Expand buyer-specific context","P1","Buyer intent cluster"
"community services framework opportunities","Commercial","Consideration","Buyer/route to market","/tenders","Expand buyer-specific context","P1","Buyer intent cluster"
"section 75 healthcare contracts","Informational","Awareness","Buyer/route to market","/guides/nhs-care-procurement","Create authoritative guide","P1","Buyer intent cluster"
"provider selection regime bid support","Transactional","Decision","Buyer/route to market","/services/bid-writing","Expand buyer-specific context","P1","Buyer intent cluster"
"care tender writing london","Transactional","Decision","london","/services/bid-writing","Use coverage proof; do not create thin regional doorway","P2","Regional demand cluster"
"care tenders london","Commercial","Consideration","london","/tenders","Support via filters and substantive regional data","P2","Regional demand cluster"
"care tender writing east of england","Transactional","Decision","east of england","/services/bid-writing","Use coverage proof; do not create thin regional doorway","P2","Regional demand cluster"
"care tenders east of england","Commercial","Consideration","east of england","/tenders","Support via filters and substantive regional data","P2","Regional demand cluster"
"care tender writing south east","Transactional","Decision","south east","/services/bid-writing","Use coverage proof; do not create thin regional doorway","P2","Regional demand cluster"
"care tenders south east","Commercial","Consideration","south east","/tenders","Support via filters and substantive regional data","P2","Regional demand cluster"
"care tender writing south west","Transactional","Decision","south west","/services/bid-writing","Use coverage proof; do not create thin regional doorway","P2","Regional demand cluster"
"care tenders south west","Commercial","Consideration","south west","/tenders","Support via filters and substantive regional data","P2","Regional demand cluster"
"care tender writing west midlands","Transactional","Decision","west midlands","/services/bid-writing","Use coverage proof; do not create thin regional doorway","P2","Regional demand cluster"
"care tenders west midlands","Commercial","Consideration","west midlands","/tenders","Support via filters and substantive regional data","P2","Regional demand cluster"
"care tender writing east midlands","Transactional","Decision","east midlands","/services/bid-writing","Use coverage proof; do not create thin regional doorway","P2","Regional demand cluster"
"care tenders east midlands","Commercial","Consideration","east midlands","/tenders","Support via filters and substantive regional data","P2","Regional demand cluster"
"care tender writing north west","Transactional","Decision","north west","/services/bid-writing","Use coverage proof; do not create thin regional doorway","P2","Regional demand cluster"
"care tenders north west","Commercial","Consideration","north west","/tenders","Support via filters and substantive regional data","P2","Regional demand cluster"
"care tender writing north east","Transactional","Decision","north east","/services/bid-writing","Use coverage proof; do not create thin regional doorway","P2","Regional demand cluster"
"care tenders north east","Commercial","Consideration","north east","/tenders","Support via filters and substantive regional data","P2","Regional demand cluster"
"care tender writing yorkshire","Transactional","Decision","yorkshire","/services/bid-writing","Use coverage proof; do not create thin regional doorway","P2","Regional demand cluster"
"care tenders yorkshire","Commercial","Consideration","yorkshire","/tenders","Support via filters and substantive regional data","P2","Regional demand cluster"
"care tender writing wales","Transactional","Decision","wales","/services/bid-writing","Use coverage proof; do not create thin regional doorway","P2","Regional demand cluster"
"care tenders wales","Commercial","Consideration","wales","/tenders","Support via filters and substantive regional data","P2","Regional demand cluster"
"care tender writing scotland","Transactional","Decision","scotland","/services/bid-writing","Use coverage proof; do not create thin regional doorway","P2","Regional demand cluster"
"care tenders scotland","Commercial","Consideration","scotland","/tenders","Support via filters and substantive regional data","P2","Regional demand cluster"
"care tender writing northern ireland","Transactional","Decision","northern ireland","/services/bid-writing","Use coverage proof; do not create thin regional doorway","P2","Regional demand cluster"
"care tenders northern ireland","Commercial","Consideration","northern ireland","/tenders","Support via filters and substantive regional data","P2","Regional demand cluster"

